symbol,event,direction,role,event_date,bar_index,impl
CRM,BC,DOWN,ENTRY,2025-01-27,271,kapman_v0_handwritten_structural
CRWD,BC,DOWN,ENTRY,2025-09-18,433,kapman_v0_handwritten_structural
CRWD,SOS,UP,ENTRY,2025-11-14,474,kapman_v0_handwritten_structural
CRWD,SC,NA,IGNORE,2025-12-03,486,kapman_v0_handwritten_structural
CRWV,SPRING,UP,ENTRY,2025-05-19,35,kapman_v0_handwritten_structural
CRWV,SOW,DOWN,ENTRY,2025-08-14,95,kapman_v0_handwritten_structural
CRWV,SC,NA,IGNORE,2025-09-10,113,kapman_v0_handwritten_structural
CRWV,AR,NA,IGNORE,2025-09-22,121,kapman_v0_handwritten_structural
CRWV,BC,DOWN,ENTRY,2025-12-19,184,kapman_v0_handwritten_structural
CXM,SOS,UP,ENTRY,2024-02-22,39,kapman_v0_handwritten_structural
CXM,SOW,DOWN,ENTRY,2024-11-05,217,kapman_v0_handwritten_structural
CXM,SPRING,UP,ENTRY,2025-04-07,320,kapman_v0_handwritten_structural
CXM,SC,NA,IGNORE,2025-12-02,485,kapman_v0_handwritten_structural
CXM,BC,DOWN,ENTRY,2025-12-03,486,kapman_v0_handwritten_structural
CXM,AR,NA,IGNORE,2025-12-03,486,kapman_v0_handwritten_structural
DDOG,BC,DOWN,ENTRY,2025-11-06,468,kapman_v0_handwritten_structural
DOCU,BC,DOWN,ENTRY,2024-12-06,239,kapman_v0_handwritten_structural
DOCU,SC,NA,IGNORE,2025-06-09,363,kapman_v0_handwritten_structural
DOMO,SC,NA,IGNORE,2025-04-04,319,kapman_v0_handwritten_structural
DOMO,AR,NA,IGNORE,2025-04-07,320,kapman_v0_handwritten_structural
DOMO,BC,DOWN,ENTRY,2025-05-22,352,kapman_v0_handwritten_structural
DOMO,SOS,UP,ENTRY,2025-07-18,390,kapman_v0_handwritten_structural
DXCM,SOS,UP,ENTRY,2024-03-01,45,kapman_v0_handwritten_structural
DXCM,SC,NA,IGNORE,2025-04-07,320,kapman_v0_handwritten_structural
DXCM,AR,NA,IGNORE,2025-04-09,322,kapman_v0_handwritten_structural
DXCM,BC,DOWN,ENTRY,2025-06-24,373,kapman_v0_handwritten_structural
ENVX,SOS,UP,ENTRY,2024-06-25,124,kapman_v0_handwritten_structural
ENVX,SC,NA,IGNORE,2025-04-09,322,kapman_v0_handwritten_structural
ENVX,BC,DOWN,ENTRY,2025-07-07,381,kapman_v0_handwritten_structural
ESTC,SOS,UP,ENTRY,2024-02-29,44,kapman_v0_handwritten_structural
ESTC,BC,DOWN,ENTRY,2025-01-28,272,kapman_v0_handwritten_structural
ESTC,SC,NA,IGNORE,2025-03-11,301,kapman_v0_handwritten_structural
EVTL,SOS,UP,ENTRY,2024-09-27,190,kapman_v0_handwritten_structural
EVTL,BC,DOWN,ENTRY,2025-12-04,487,kapman_v0_handwritten_structural
FN,SC,NA,IGNORE,2025-04-04,319,kapman_v0_handwritten_structural
FN,AR,NA,IGNORE,2025-04-07,320,kapman_v0_handwritten_structural
FRSH,SC,NA,IGNORE,2024-05-02,88,kapman_v0_handwritten_structural
FRSH,AR,NA,IGNORE,2024-05-28,105,kapman_v0_handwritten_structural
FRSH,SOW,DOWN,ENTRY,2024-07-31,149,kapman_v0_handwritten_structural
FRSH,SPRING,UP,ENTRY,2024-11-04,216,kapman_v0_handwritten_structural
FRSH,BC,DOWN,ENTRY,2025-04-30,336,kapman_v0_handwritten_structural
GEV,SOW,DOWN,ENTRY,2024-05-31,42,kapman_v0_handwritten_structural
GEV,BC,DOWN,ENTRY,2025-07-23,327,kapman_v0_handwritten_structural
GEV,SOS,UP,ENTRY,2025-08-01,334,kapman_v0_handwritten_structural
GEV,SC,NA,IGNORE,2025-10-22,391,kapman_v0_handwritten_structural
GEV,AR,NA,IGNORE,2025-11-07,403,kapman_v0_handwritten_structural
GOOG,BC,DOWN,ENTRY,2024-12-11,242,kapman_v0_handwritten_structural
GOOG,SC,NA,IGNORE,2025-04-09,322,kapman_v0_handwritten_structural
GOOG,SOS,UP,ENTRY,2025-08-13,408,kapman_v0_handwritten_structural
HON,SOS,UP,ENTRY,2024-11-11,221,kapman_v0_handwritten_structural
HON,SC,NA,IGNORE,2025-04-09,322,kapman_v0_handwritten_structural
HON,AR,NA,IGNORE,2025-04-11,324,kapman_v0_handwritten_structural
HON,BC,DOWN,ENTRY,2025-10-23,458,kapman_v0_handwritten_structural
HUBS,BC,DOWN,ENTRY,2025-01-28,272,kapman_v0_handwritten_structural
HUBS,SOS,UP,ENTRY,2025-02-13,284,kapman_v0_handwritten_structural
HUBS,SC,NA,IGNORE,2025-04-09,322,kapman_v0_handwritten_structural
IBM,SC,NA,IGNORE,2025-07-24,394,kapman_v0_handwritten_structural
IBM,BC,DOWN,ENTRY,2025-10-24,459,kapman_v0_handwritten_structural
INTC,SOS,UP,ENTRY,2024-02-22,39,kapman_v0_handwritten_structural
