impl,event,direction,role,horizon,mean_ret_dir,median_ret_dir,win_rate,mae_mean_dir,signal_count,ret_p25,ret_p75,composite_rank,symbols_processed,symbols_scored,symbols_failed,bars_evaluated
kapman_v0_handwritten_structural,BC,DOWN,ENTRY,40,0.1767456860785086,0.0689467969598263,0.6438356164383562,-0.1210101217507329,73,-0.0656741877956114,0.21952746939937384,23.333333333333332,97,97,0,47519
kapman_v0_handwritten_structural,SOS,UP,ENTRY,5,-0.020307239754587012,-0.008809290759503652,0.4915254237288136,-0.054203478831990164,59,-0.07016566164421822,0.030678381823186385,42.333333333333336,97,97,0,47519
kapman_v0_handwritten_structural,SOS,UP,ENTRY,10,-0.008350796731310485,0.023796838927366393,0.5423728813559322,-0.0820779634230691,59,-0.07007138558740278,0.0577281912994696,43.333333333333336,97,97,0,47519
kapman_v0_handwritten_structural,SOS,UP,ENTRY,20,-0.04150228557807451,-0.01797879512076228,0.43103448275862066,-0.12460666506752618,58,-0.15586146927461458,0.04874650658961999,61.666666666666664,97,97,0,47519
kapman_v0_handwritten_structural,SOS,UP,ENTRY,40,-0.11707105105561319,-0.07693652042681037,0.3275862068965517,-0.19061435094158993,58,-0.25586752531270596,0.03868146736342015,69.0,97,97,0,47519
kapman_v0_handwritten_structural,SOW,DOWN,ENTRY,5,-0.01597124644090371,-0.013392221114118752,0.37142857142857144,-0.054022175459173344,35,-0.04923693607226326,0.04704325097165518,48.666666666666664,97,97,0,47519
kapman_v0_handwritten_structural,SOW,DOWN,ENTRY,10,-0.03277066340156018,-0.026321053985310594,0.2571428571428571,-0.07591134270370956,35,-0.05758990790827734,-0.0001361936806241748,57.333333333333336,97,97,0,47519
kapman_v0_handwritten_structural,SOW,DOWN,ENTRY,20,-0.0745676547387901,-0.06750918821329555,0.17142857142857143,-0.11592062658603616,35,-0.1295870408070507,-0.020371281598275837,64.33333333333333,97,97,0,47519
kapman_v0_handwritten_structural,SOW,DOWN,ENTRY,40,-0.08498480731789648,-0.08612117637145023,0.22857142857142856,-0.15919777802826784,35,-0.16709945157423384,-0.0122492771458933,68.33333333333333,97,97,0,47519
kapman_v0_handwritten_structural,SPRING,UP,ENTRY,5,0.09488823951782904,0.04361290870588974,0.8,-0.01565863196950555,30,0.006459228640741277,0.09524734223189035,5.333333333333333,97,97,0,47519
kapman_v0_handwritten_structural,SPRING,UP,ENTRY,10,0.09762026857323663,0.0310292408119468,0.6551724137931034,-0.030202843242822085,29,-0.009316623315204553,0.09365698450169346,7.0,97,97,0,47519
kapman_v0_handwritten_structural,SPRING,UP,ENTRY,20,0.10480783105626873,0.054444698354661814,0.6551724137931034,-0.0464329791190416,29,-0.024554969138563365,0.13357761492338427,10.666666666666666,97,97,0,47519
kapman_v0_handwritten_structural,SPRING,UP,ENTRY,40,0.2435723142513023,0.08412830084335687,0.7241379310344828,-0.06265776268353178,29,-0.0014534368463964276,0.19088937093275482,9.666666666666666,97,97,0,47519
