symbol,event,direction,role,event_date,bar_index,impl
KOS,AR,NA,IGNORE,2025-12-19,496,kapman_v0_handwritten_structural
KOSS,SOS,UP,ENTRY,2024-07-03,128,kapman_v0_handwritten_structural
KOSS,BC,DOWN,ENTRY,2024-11-11,219,kapman_v0_handwritten_structural
KPLT,SC,NA,IGNORE,2024-12-30,252,kapman_v0_handwritten_structural
KPLT,AR,NA,IGNORE,2025-01-16,263,kapman_v0_handwritten_structural
KPLT,BC,DOWN,ENTRY,2025-09-02,419,kapman_v0_handwritten_structural
KPRO,BC,DOWN,ENTRY,2025-09-23,406,kapman_v0_handwritten_structural
KPRX,SOS,UP,ENTRY,2024-06-11,113,kapman_v0_handwritten_structural
KPRX,BC,DOWN,ENTRY,2025-06-03,357,kapman_v0_handwritten_structural
KPRX,SC,NA,IGNORE,2025-08-15,408,kapman_v0_handwritten_structural
KPTI,SOS,UP,ENTRY,2025-02-26,290,kapman_v0_handwritten_structural
KPTI,BC,DOWN,ENTRY,2025-07-11,383,kapman_v0_handwritten_structural
KPTI,SC,NA,IGNORE,2025-10-08,445,kapman_v0_handwritten_structural
KR,SOW,DOWN,ENTRY,2024-02-26,39,kapman_v0_handwritten_structural
KR,SPRING,UP,ENTRY,2024-12-10,239,kapman_v0_handwritten_structural
KR,BC,DOWN,ENTRY,2025-06-20,369,kapman_v0_handwritten_structural
KR,SC,NA,IGNORE,2025-12-04,485,kapman_v0_handwritten_structural
KR,AR,NA,IGNORE,2025-12-08,487,kapman_v0_handwritten_structural
KRBN,SC,NA,IGNORE,2025-04-09,320,kapman_v0_handwritten_structural
KRBN,AR,NA,IGNORE,2025-04-11,322,kapman_v0_handwritten_structural
KRBN,BC,DOWN,ENTRY,2025-09-05,422,kapman_v0_handwritten_structural
KRBN,SOS,UP,ENTRY,2025-11-24,478,kapman_v0_handwritten_structural
KRC,SOS,UP,ENTRY,2024-09-18,181,kapman_v0_handwritten_structural
KRC,SC,NA,IGNORE,2025-04-09,320,kapman_v0_handwritten_structural
KRC,AR,NA,IGNORE,2025-04-11,322,kapman_v0_handwritten_structural
KRC,BC,DOWN,ENTRY,2025-07-29,395,kapman_v0_handwritten_structural
KRE,SOS,UP,ENTRY,2024-11-06,216,kapman_v0_handwritten_structural
KRE,SC,NA,IGNORE,2025-04-09,320,kapman_v0_handwritten_structural
KRE,BC,DOWN,ENTRY,2025-08-22,413,kapman_v0_handwritten_structural
KREF,BC,DOWN,ENTRY,2024-07-23,141,kapman_v0_handwritten_structural
KREF,SOS,UP,ENTRY,2024-09-05,172,kapman_v0_handwritten_structural
KREF,SPRING,UP,ENTRY,2025-04-09,320,kapman_v0_handwritten_structural
KREF,SC,NA,IGNORE,2025-07-23,391,kapman_v0_handwritten_structural
KREF,AR,NA,IGNORE,2025-07-24,392,kapman_v0_handwritten_structural
KREF,SOW,DOWN,ENTRY,2025-10-09,446,kapman_v0_handwritten_structural
KRG,SOW,DOWN,ENTRY,2024-02-28,41,kapman_v0_handwritten_structural
KRG,BC,DOWN,ENTRY,2024-07-30,146,kapman_v0_handwritten_structural
KRG,SPRING,UP,ENTRY,2024-07-30,146,kapman_v0_handwritten_structural
KRG,SOS,UP,ENTRY,2024-10-15,200,kapman_v0_handwritten_structural
KRG,SC,NA,IGNORE,2024-10-31,212,kapman_v0_handwritten_structural
KRG,AR,NA,IGNORE,2024-11-01,213,kapman_v0_handwritten_structural
KRKR,SOW,DOWN,ENTRY,2024-02-27,40,kapman_v0_handwritten_structural
KRKR,SOS,UP,ENTRY,2025-01-29,271,kapman_v0_handwritten_structural
KRKR,BC,DOWN,ENTRY,2025-07-11,378,kapman_v0_handwritten_structural
KRKR,SPRING,UP,ENTRY,2025-07-28,388,kapman_v0_handwritten_structural
KRKR,SC,NA,IGNORE,2025-07-29,389,kapman_v0_handwritten_structural
KRKR,AR,NA,IGNORE,2025-07-31,391,kapman_v0_handwritten_structural
